ZIP Code,City,Adresse d'arrivée,Distance Km
1005,"1005 Assemblée Réunie de la Commission Communautaire, Belgique",BRUXELLES,0
1011,"1011 Vlaams parlement, Belgique",BRUXELLES,0
1030,"1030 SCHAERBEEK, Belgique",BRUXELLES,0
1031,"1031 Organisations Sociales Chrétiennes, Belgique",BRUXELLES,0
1047,"1047 Parlement Européen, Belgique",BRUXELLES,0
1049,"1049 Union Européenne - Commission, Belgique",BRUXELLES,0
1082,"1082 BERCHEM-SAINTE-AGATHE, Belgique",BRUXELLES,0
1100,"1100 Postcheque, Belgique",BRUXELLES,0
1315,"1315 Roux-Miroir, Belgique",BRUXELLES,0
1325,"1325 Bonlez, Belgique",BRUXELLES,0
1380,"1380 Plancenoit, Belgique",BRUXELLES,0
1401,"1401 Baulers, Belgique",BRUXELLES,0
1460,"1460 ITTRE, Belgique",BRUXELLES,0
1674,"1674 Bellingen, Belgique",BRUXELLES,0
1934,"1934 Office Exchange Brussels Airport Remailing, Belgique",BRUXELLES,0
2440,"2440 GEEL, Belgique",BRUXELLES,0
2550,"2550 Waarloos, Belgique",BRUXELLES,0
2840,"2840 Terhagen, Belgique",BRUXELLES,0
2940,"2940 STABROEK, Belgique",BRUXELLES,0
3051,"3051 Sint-Joris-Weert, Belgique",BRUXELLES,0
3070,"3070 KORTENBERG, Belgique",BRUXELLES,0
3090,"3090 OVERIJSE, Belgique",BRUXELLES,0
3271,"3271 Averbode, Belgique",BRUXELLES,0
3370,"3370 Vertrijk, Belgique",BRUXELLES,0
3400,"3400 Ezemaal, Belgique",BRUXELLES,0
3401,"3401 Waasmont, Belgique",BRUXELLES,0
3700,"3700 Piringen, Belgique",BRUXELLES,0
3770,"3770 Genoelselderen, Belgique",BRUXELLES,0
3850,"3850 NIEUWERKERKEN, Belgique",BRUXELLES,0
3950,"3950 Reppel, Belgique",BRUXELLES,0
3990,"3990 Grote-Brogel, Belgique",BRUXELLES,0
4040,"4040 HERSTAL, Belgique",BRUXELLES,0
4280,"4280 Grand-Hallet, Belgique",BRUXELLES,0
4367,"4367 Fize-Le-Marsal, Belgique",BRUXELLES,0
4500,"4500 Tihange, Belgique",BRUXELLES,0
4607,"4607 Feneur, Belgique",BRUXELLES,0
4690,"4690 Eben-Emael, Belgique",BRUXELLES,0
5010,"5010 SA SudPresse, Belgique",BRUXELLES,0
5020,"5020 Champion, Belgique",BRUXELLES,0
5080,"5080 Emines, Belgique",BRUXELLES,0
5190,"5190 Saint-Martin, Belgique",BRUXELLES,0
5300,"5300 Namêche, Belgique",BRUXELLES,0
5310,"5310 Boneffe, Belgique",BRUXELLES,0
5380,"5380 Franc-Waret, Belgique",BRUXELLES,0
5502,"5502 Thynes, Belgique",BRUXELLES,0
5590,"5590 Sovet, Belgique",BRUXELLES,0
6030,"6030 Marchienne-Au-Pont, Belgique",BRUXELLES,0
6223,"6223 Wagnelée, Belgique",BRUXELLES,0
6464,"6464 Rièzes, Belgique",BRUXELLES,0
6511,"6511 Strée, Belgique",BRUXELLES,0
6662,"6662 Tavigny, Belgique",BRUXELLES,0
6688,"6688 Longchamps, Belgique",BRUXELLES,0
6810,"6810 CHINY, Belgique",BRUXELLES,0
6812,"6812 Suxy, Belgique",BRUXELLES,0
6887,"6887 HERBEUMONT, Belgique",BRUXELLES,0
6929,"6929 Haut-Fays, Belgique",BRUXELLES,0
6941,"6941 Heyd, Belgique",BRUXELLES,0
6997,"6997 Soy, Belgique",BRUXELLES,0
7020,"7020 Maisières, Belgique",BRUXELLES,0
7120,"7120 Haulchin, Belgique",BRUXELLES,0
7140,"7140 MORLANWELZ, Belgique",BRUXELLES,0
7511,"7511 Vitrine Magique, Belgique",BRUXELLES,0
7532,"7532 Beclers, Belgique",BRUXELLES,0
7534,"7534 Maulde, Belgique",BRUXELLES,0
7730,"7730 Leers-Nord, Belgique",BRUXELLES,0
7801,"7801 Irchonwelz, Belgique",BRUXELLES,0
7900,"7900 LEUZE-EN-HAINAUT, Belgique",BRUXELLES,0
7906,"7906 Gallaix, Belgique",BRUXELLES,0
7911,"7911 Buissenal, Belgique",BRUXELLES,0
8370,"8370 Uitkerke, Belgique",BRUXELLES,0
8380,"8380 Zeebrugge, Belgique",BRUXELLES,0
8470,"8470 Zevekote, Belgique",BRUXELLES,0
8554,"8554 Sint-Denijs, Belgique",BRUXELLES,0
8570,"8570 Gijzelbrechtegem, Belgique",BRUXELLES,0
8600,"8600 Vladslo, Belgique",BRUXELLES,0
8970,"8970 POPERINGE, Belgique",BRUXELLES,0
9170,"9170 Meerdonk, Belgique",BRUXELLES,0
9200,"9200 Schoonaarde, Belgique",BRUXELLES,0
9255,"9255 BUGGENHOUT, Belgique",BRUXELLES,0
9340,"9340 Impe, Belgique",BRUXELLES,0
9620,"9620 Sint-Maria-Oudenhove, Belgique",BRUXELLES,0
9700,"9700 Volkegem, Belgique",BRUXELLES,0
9772,"9772 Wannegem-Lede, Belgique",BRUXELLES,0
9850,"9850 Merendree, Belgique",BRUXELLES,0
9880,"9880 Poeke, Belgique",BRUXELLES,0
9970,"9970 KAPRIJKE, Belgique",BRUXELLES,0
9971,"9971 Lembeke, Belgique",BRUXELLES,0
9980,"9980 SINT-LAUREINS, Belgique",BRUXELLES,0
9981,"9981 Sint-Margriete, Belgique",BRUXELLES,0
9990,"9990 MALDEGEM, Belgique",BRUXELLES,0
9992,"9992 Middelburg, Belgique",BRUXELLES,0
1212,"1212 SPF Mobilité, Belgique",BRUXELLES,"1,51"
1012,"1012 Parlement de la Communauté française, Belgique",BRUXELLES,"1,54"
1008,"1008 Chambre des Représentants, Belgique",BRUXELLES,"1,647"
1006,"1006 Raad van de Vlaamse Gemeenschapscommissie, Belgique",BRUXELLES,"1,73"
1035,"1035 Ministère de la Région de Bruxelles Capitale, Belgique",BRUXELLES,"1,75"
1009,"1009 Senat de Belgique, Belgique",BRUXELLES,"1,84"
1000,"1000 BRUXELLES, Belgique",BRUXELLES,"1,976"
4420,"4420 Tilleur, Belgique",BRUXELLES,10
1932,"1932 Sint-Stevens-Woluwe, Belgique",BRUXELLES,"10,15"
1731,"1731 Relegem, Belgique",BRUXELLES,"10,31"
1601,"1601 Ruisbroek, Belgique",BRUXELLES,"10,32"
1860,"1860 MEISE, Belgique",BRUXELLES,"10,81"
8930,"8930 Lauwe, Belgique",BRUXELLES,"100,034"
9988,"9988 Waterland-Oudeman, Belgique",BRUXELLES,"100,19"
3670,"3670 Ellikom, Belgique",BRUXELLES,"100,222"
7700,"7700 MOUSCRON, Belgique",BRUXELLES,"100,29"
7641,"7641 Bruyelle, Belgique",BRUXELLES,"100,3"
4031,"4031 Angleur, Belgique",BRUXELLES,"100,38"
4020,"4020 Bressoux, Belgique",BRUXELLES,"100,39"
3668,"3668 Niel-Bij-As, Belgique",BRUXELLES,"100,47"
4102,"4102 Ougrée, Belgique",BRUXELLES,"100,5"
3690,"3690 ZUTENDAAL, Belgique",BRUXELLES,"100,6"
8211,"8211 Aartrijke, Belgique",BRUXELLES,"100,64"
4458,"4458 Fexhe-Slins, Belgique",BRUXELLES,"100,74"
8000,"8000 BRUGGE, Belgique",BRUXELLES,"100,874"
4550,"4550 Villers-Le-Temple, Belgique",BRUXELLES,"100,889"
