Code postal;Localité;Sous-commune;Commune principale;Province
9700;Melden;Oui;OUDENAARDE;Flandre-Orientale
1160;AUDERGHEM;Non;AUDERGHEM;Bruxelles (19 communes)
9630;Dikkele;Oui;ZWALM;Flandre-Orientale
8480;Eernegem;Oui;ICHTEGEM;Flandre-Occidentale
3800;Groot-Gelmen;Oui;SINT-TRUIDEN;Limbourg
7387;Athis;Oui;HONNELLES;Hainaut
5030;GEMBLOUX;Non;GEMBLOUX;Namur
2970;SCHILDE;Non;SCHILDE;Anvers
9700;Edelare;Oui;OUDENAARDE;Flandre-Orientale
5537;ANHÉE;Non;ANHÉE;Namur
5575;Patignies;Oui;GEDINNE;Namur
5081;Saint-Denis-Bovesse;Oui;LA BRUYÈRE;Namur
3545;Loksbergen;Oui;HALEN;Limbourg
2880;Hingene;Oui;BORNEM;Anvers
4280;Lens-Saint-Remy;Oui;HANNUT;Liège
7700;Luingne;Oui;MOUSCRON;Hainaut
5670;Mazée;Oui;VIROINVAL;Namur
4577;Outrelouxhe;Oui;MODAVE;Liège
1401;Baulers;Oui;NIVELLES;Brabant Wallon
4880;AUBEL;Non;AUBEL;Liège
6920;Sohier;Oui;WELLIN;Luxembourg
7911;Hacquegnies;Oui;FRASNES-LEZ-ANVAING;Hainaut
7911;Herquegies;Oui;FRASNES-LEZ-ANVAING;Hainaut
8551;Heestert;Oui;ZWEVEGEM;Flandre-Occidentale
7331;Baudour;Oui;SAINT-GHISLAIN;Hainaut
8340;Lapscheure;Oui;DAMME;Flandre-Occidentale
5190;Mornimont;Oui;JEMEPPE-SUR-SAMBRE;Namur
5575;Sart-Custinne;Oui;GEDINNE;Namur
7971;Thumaide;Oui;BELOEIL;Hainaut
8450;BREDENE;Non;BREDENE;Flandre-Occidentale
7812;Villers-Saint-Amand;Oui;ATH;Hainaut
1860;MEISE;Non;MEISE;Brabant Flamand
3080;TERVUREN;Non;TERVUREN;Brabant Flamand
8470;Zevekote;Oui;GISTEL;Flandre-Occidentale
4190;FERRIÈRES;Non;FERRIÈRES;Liège
7911;Frasnes-Lez-Buissenal;Oui;FRASNES-LEZ-ANVAING;Hainaut
1750;LENNIK;Non;LENNIK;Brabant Flamand
5310;Longchamps;Oui;EGHEZÉE;Namur
9140;TEMSE;Non;TEMSE;Flandre-Orientale
4420;Tilleur;Oui;SAINT-NICOLAS;Liège
9404;Aspelare;Oui;NINOVE;Flandre-Orientale
3700;Diets-Heur;Oui;TONGEREN;Limbourg
9140;Elversele;Oui;TEMSE;Flandre-Orientale
1370;Mélin;Oui;JODOIGNE;Brabant Wallon
8972;Proven;Oui;POPERINGE;Flandre-Occidentale
6637;Tintange;Oui;FAUVILLERS;Luxembourg
9090;Gontrode;Oui;MELLE;Flandre-Orientale
6782;Habergy;Oui;MESSANCY;Luxembourg
3800;Kerkom-Bij-Sint-Truiden;Oui;SINT-TRUIDEN;Limbourg
7350;Thulin;Oui;HENSIES;Hainaut
4821;Andrimont;Oui;DISON;Liège
1315;Opprebais;Oui;INCOURT;Brabant Wallon
2242;Pulderbos;Oui;ZANDHOVEN;Anvers
5620;Flavion;Oui;FLORENNES;Namur
4480;Hermalle-Sous-Huy;Oui;ENGIS;Liège
4770;AMBLÈVE;Non;AMBLÈVE;Liège
3380;Bunsbeek;Oui;GLABBEEK;Brabant Flamand
3580;BERINGEN;Non;BERINGEN;Limbourg
6920;WELLIN;Non;WELLIN;Luxembourg
7542;Mont-Saint-Aubert;Oui;TOURNAI;Hainaut
9340;LEDE;Non;LEDE;Flandre-Orientale
7387;Onnezies;Oui;HONNELLES;Hainaut
5621;Thy-Le-Baudouin;Oui;FLORENNES;Namur
5080;LA BRUYÈRE;Non;LA BRUYÈRE;Namur
6592;Monceau-Imbrechies;Oui;MOMIGNIES;Hainaut
4520;Moha;Oui;WANZE;Liège
7760;Popuelles;Oui;CELLES;Hainaut
4950;Faymonville;Oui;WAIMES;Liège
6230;Buzet;Oui;PONT-À-CELLES;Hainaut
3390;Houwaart;Oui;TIELT-WINGE;Brabant Flamand
1654;Huizingen;Oui;BEERSEL;Brabant Flamand
6767;Lamorteau;Oui;ROUVROY;Luxembourg
3061;Leefdaal;Oui;BERTEM;Brabant Flamand
4360;Lens-Sur-Geer;Oui;OREYE;Liège
4360;Otrange;Oui;OREYE;Liège
3080;Vossem;Oui;TERVUREN;Brabant Flamand
9185;WACHTEBEKE;Non;WACHTEBEKE;Flandre-Orientale
8501;Heule;Oui;KORTRIJK;Flandre-Occidentale
6150;ANDERLUES;Non;ANDERLUES;Hainaut
3650;DILSEN-STOKKEM;Non;DILSEN-STOKKEM;Limbourg
9420;Erpe;Oui;ERPE-MERE;Flandre-Orientale
5351;Haillot;Oui;OHEY;Namur
2900;SCHOTEN;Non;SCHOTEN;Anvers
1430;REBECQ;Non;REBECQ;Brabant Wallon
4180;HAMOIR;Non;HAMOIR;Liège
2801;Heffen;Oui;MECHELEN;Anvers
3221;Nieuwrode;Oui;HOLSBEEK;Brabant Flamand
3510;Spalbeek;Oui;HASSELT;Limbourg
5680;Gimnée;Oui;DOISCHE;Namur
7620;Wez-Velvain;Oui;BRUNEHAUT;Hainaut
7608;Wiers;Oui;PÉRUWELZ;Hainaut
5570;Vonêche;Oui;BEAURAING;Namur
4317;Aineffe;Oui;FAIMES;Liège
9930;LIEVEGEM;Non;LIEVEGEM;Flandre-Orientale
7812;Mainvault;Oui;ATH;Hainaut
8554;Sint-Denijs;Oui;ZWEVEGEM;Flandre-Occidentale
1180;UCCLE;Non;UCCLE;Bruxelles (19 communes)
6941;Tohogne;Oui;DURBUY;Luxembourg
6666;Wibrin;Oui;HOUFFALIZE;Luxembourg
1861;Wolvertem;Oui;MEISE;Brabant Flamand
4831;Bilstain;Oui;LIMBOURG;Liège
1367;Bomal;Oui;RAMILLIES;Brabant Wallon
4367;CRISNÉE;Non;CRISNÉE;Liège
5300;Namêche;Oui;ANDENNE;Namur
1350;Orp-Le-Grand;Oui;ORP-JAUCHE;Brabant Wallon
6530;THUIN;Non;THUIN;Hainaut
1673;Beert;Oui;PEPINGEN;Brabant Flamand
1082;BERCHEM-SAINTE-AGATHE;Non;BERCHEM-SAINTE-AGATHE;Bruxelles (19 communes)
1770;LIEDEKERKE;Non;LIEDEKERKE;Brabant Flamand
8691;Gijverinkhove;Oui;ALVERINGEM;Flandre-Occidentale
4540;Jehay;Oui;AMAY;Liège
4920;Louveigné;Oui;AYWAILLE;Liège
5100;Wépion;Oui;NAMUR;Namur
7950;Tongre-Saint-Martin;Oui;CHIÈVRES;Hainaut
7040;Blaregnies;Oui;QUÉVY;Hainaut
3840;Haren;Oui;BORGLOON;Limbourg
4987;La Gleize;Oui;STOUMONT;Liège
3630;Leut;Oui;MAASMECHELEN;Limbourg
3840;Broekom;Oui;BORGLOON;Limbourg
9170;Meerdonk;Oui;SINT-GILLIS-WAAS;Flandre-Orientale
9310;Moorsel;Oui;AALST;Flandre-Orientale
3560;Meldert;Oui;LUMMEN;Limbourg
6940;Barvaux-Sur-Ourthe;Oui;DURBUY;Luxembourg
1730;ASSE;Non;ASSE;Brabant Flamand
9572;Sint-Martens-Lierde;Oui;LIERDE;Flandre-Orientale
3890;Boekhout;Oui;GINGELOM;Limbourg
4960;Bevercé;Oui;MALMEDY;Liège
6724;Houdemont;Oui;HABAY;Luxembourg
4400;Mons-Lez-Liège;Oui;FLÉMALLE;Liège
8980;ZONNEBEKE;Non;ZONNEBEKE;Flandre-Occidentale
4280;Abolens;Oui;HANNUT;Liège
5646;Stave;Oui;METTET;Namur
5600;Villers-Le-Gambon;Oui;PHILIPPEVILLE;Namur
1380;Ohain;Oui;LASNE;Brabant Wallon
6560;Bersillies-L'Abbaye;Oui;ERQUELINNES;Hainaut
2240;ZANDHOVEN;Non;ZANDHOVEN;Anvers
1790;Essene;Oui;AFFLIGEM;Brabant Flamand
4280;HANNUT;Non;HANNUT;Liège
9880;Lotenhulle;Oui;AALTER;Flandre-Orientale
8490;Snellegem;Oui;JABBEKE;Flandre-Occidentale
6833;Vivy;Oui;BOUILLON;Luxembourg
7050;Masnuy-Saint-Pierre;Oui;JURBISE;Hainaut
6600;Noville;Oui;BASTOGNE;Luxembourg
5550;Bohan;Oui;VRESSE-SUR-SEMOIS;Namur
7540;Melles;Oui;TOURNAI;Hainaut
9630;Sint-Denijs-Boekel;Oui;ZWALM;Flandre-Orientale
7863;Ghoy;Oui;LESSINES;Hainaut
6470;Sivry;Oui;SIVRY-RANCE;Hainaut
2430;Vorst;Oui;LAAKDAL;Anvers
6600;Villers-La-Bonne-Eau;Oui;BASTOGNE;Luxembourg
4340;AWANS;Non;AWANS;Liège
5621;Hanzinne;Oui;FLORENNES;Namur
6663;Mabompré;Oui;HOUFFALIZE;Luxembourg
3680;Opoeteren;Oui;MAASEIK;Limbourg
5564;Wanlin;Oui;HOUYET;Namur
7340;Wasmes;Oui;COLFONTAINE;Hainaut
4452;Wihogne;Oui;JUPRELLE;Liège
1325;Dion-Valmont;Oui;CHAUMONT-GISTOUX;Brabant Wallon
3650;Elen;Oui;DILSEN-STOKKEM;Limbourg
1435;MONT-SAINT-GUIBERT;Non;MONT-SAINT-GUIBERT;Brabant Wallon
7604;Braffe;Oui;PÉRUWELZ;Hainaut
4761;Rocherath;Oui;BULLANGE;Liège
7387;Angre;Oui;HONNELLES;Hainaut
9800;Bachte-Maria-Leerne;Oui;DEINZE;Flandre-Orientale
5560;Finnevaux;Oui;HOUYET;Namur
8958;Loker;Oui;HEUVELLAND;Flandre-Occidentale
8720;Markegem;Oui;DENTERGEM;Flandre-Occidentale
7387;Marchipont;Oui;HONNELLES;Hainaut
7804;Ostiches;Oui;ATH;Hainaut
4671;Saive;Oui;BLÉGNY;Liège
7513;Yves Rocher;;;
3990;Wijchmaal;Oui;PEER;Limbourg
1650;BEERSEL;Non;BEERSEL;Brabant Flamand
5300;ANDENNE;Non;ANDENNE;Namur
3640;KINROOI;Non;KINROOI;Limbourg
9660;Michelbeke;Oui;BRAKEL;Flandre-Orientale
9200;Sint-Gillis-Dendermonde;Oui;DENDERMONDE;Flandre-Orientale
8470;Moere;Oui;GISTEL;Flandre-Occidentale
7180;SENEFFE;Non;SENEFFE;Hainaut
1005;Assemblée Réunie de la Commission Communautaire;;;
2940;Hoevenen;Oui;STABROEK;Anvers
6280;Joncret;Oui;GERPINNES;Hainaut
6040;Jumet;Oui;CHARLEROI;Hainaut
4041;Milmort;Oui;HERSTAL;Liège
5500;Anseremme;Oui;DINANT;Namur
5170;Lesve;Oui;PROFONDEVILLE;Namur
8978;Watou;Oui;POPERINGE;Flandre-Occidentale
